pedido_id,data_dt,ano,mes,uf,canal,categoria,produto,cliente_id,quantidade,receita_num,lucro,margem_lucro_pct,observacao
1000,2024-04-29,2024,2024-04,SP,Loja Física,Informática,Notebook Pro,C134,1,4535.11,1289.83,28.440985995929534,ok
1001,2024-06-17,2024,2024-06,PR,Não informado,Informática,Notebook Pro,C106,1,4005.59,541.36,13.515112630099434,entrega rápida
1002,2024-05-27,2024,2024-05,PR,Marketplace,Periféricos,Teclado Mecânico,C131,1,309.02,128.26,41.50540418095916,entrega rápida
1003,2024-07-08,2024,2024-07,SP,Marketplace,Informática,Notebook Pro,C148,2,7943.78,1574.09,19.815377565843967,ok
1004,2024-05-20,2024,2024-05,RS,Online,Informática,Notebook Pro,C105,5,19926.65,4281.84,21.48800726665044,ok
1005,2024-02-26,2024,2024-02,RJ,Loja Física,Periféricos,Teclado Mecânico,C155,2,752.94,375.76,49.9057029776609,sem observacao
1006,2024-07-29,2024,2024-07,RJ,Loja Física,Áudio,Headset Pro,C143,4,1154.6,491.0,42.52554997401698,sem observacao
1007,2024-09-23,2024,2024-09,PR,Online,Informática,Monitor 27,C150,5,6938.5,1379.84,19.886719031490955,sem observacao
1008,2024-08-19,2024,2024-08,SC,Loja Física,Áudio,Caixa de Som,C165,1,389.08,138.19,35.51711730235427,ok
1009,2024-11-18,2024,2024-11,NÃO INFORMADO,Loja Física,Periféricos,Teclado Mecânico,C133,1,316.41,153.73,48.585695774469826,entrega rápida
1010,2024-05-27,2024,2024-05,SC,Online,Telefonia,Smartphone X,C158,3,6752.19,736.8,10.912015212842055,sem observacao
1011,2024-01-08,2024,2024-01,ES,Marketplace,Telefonia,Smartphone X,C111,2,6230.34,1868.54,29.99097962551,cliente premium
1012,2024-06-03,2024,2024-06,ES,Loja Física,Informática,Notebook Pro,C168,3,13293.72,4115.9,30.96123583165585,ok
1013,2024-08-05,2024,2024-08,ES,Marketplace,Áudio,Headset Pro,C161,3,785.88,347.34,44.1975874179264,entrega rápida
1014,2024-08-26,2024,2024-08,RS,Loja Física,Periféricos,Teclado Mecânico,C159,2,0.0,323.62,,ok
1016,2024-10-28,2024,2024-10,BA,Loja Física,Telefonia,Smartphone X,C153,4,13677.0,5446.4,39.82159830372157,ok
1018,2024-07-08,2024,2024-07,RJ,Marketplace,Periféricos,Mouse Gamer,C148,3,0.0,304.18,,ok
1019,2024-01-08,2024,2024-01,PR,Loja Física,Telefonia,Tablet Plus,C160,5,11756.35,3855.33,32.793596652022096,ok
